Id,Score
413937,1.0
16525,4.0
221883,5.0
82207,2.0
8354,5.0
483228,5.0
350796,5.0
121313,5.0
494256,2.0
260366,5.0
48796,3.0
255690,5.0
503733,5.0
172961,3.0
556434,4.0
235026,5.0
465583,1.0
494936,5.0
32516,5.0
552401,1.0
66809,3.0
68811,5.0
434215,5.0
104046,5.0
548806,5.0
326287,2.0
555163,4.0
299994,4.0
193198,5.0
140391,5.0
470710,3.0
335190,1.0
293800,5.0
1044,1.0
112990,5.0
1025,5.0
302160,5.0
101147,4.0
284958,5.0
178406,5.0
330025,5.0
328435,4.0
396343,5.0
153197,1.0
148138,4.0
447057,5.0
133229,5.0
216690,5.0
147264,5.0
154974,5.0
142490,1.0
107617,4.0
62206,5.0
397186,5.0
6420,5.0
89400,5.0
480986,5.0
450493,5.0
381903,5.0
99711,5.0
261573,5.0
177441,5.0
319438,5.0
78997,5.0
447722,2.0
414032,5.0
6976,5.0
436187,5.0
360444,2.0
443142,5.0
501973,5.0
472217,5.0
165693,5.0
325568,5.0
229489,3.0
188811,5.0
86784,1.0
406307,5.0
262719,5.0
292261,5.0
188009,2.0
353919,5.0
73305,5.0
509866,5.0
504189,4.0
530550,5.0
188797,2.0
47593,1.0
156300,5.0
34230,1.0
97907,5.0
416834,5.0
488473,5.0
440276,5.0
195080,4.0
97840,5.0
332784,5.0
141005,5.0
16937,4.0
290347,5.0
312624,5.0
399177,5.0
118229,5.0
182953,1.0
530937,2.0
338747,4.0
452174,5.0
433204,5.0
137245,5.0
299000,3.0
238215,5.0
512474,5.0
196560,5.0
109364,3.0
476995,5.0
40813,5.0
430925,5.0
16463,4.0
434023,5.0
523827,4.0
167098,5.0
420037,1.0
194674,2.0
415911,5.0
548512,5.0
236147,5.0
270396,5.0
412881,5.0
423140,4.0
53289,5.0
161615,5.0
498135,5.0
478033,5.0
359659,4.0
54636,5.0
512772,5.0
283378,2.0
530454,5.0
14763,5.0
165849,4.0
490104,5.0
496150,5.0
251292,5.0
215690,5.0
15187,5.0
3124,5.0
365096,5.0
473307,3.0
115267,5.0
363556,5.0
268075,5.0
83450,5.0
286031,1.0
266006,1.0
146692,1.0
178875,3.0
80759,4.0
